OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,CHASSIS7,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,HEIGHT,IMPORT_STATUS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,ROAD_TRANSPORT_CODE,SUBMODEL,TLA,TRANSMISSION_TYPE,VDAM_WEIGHT,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
6975,WHITE,STATION WAGON,2997,,2012,8,0,0,NEW,HOLDEN,CAPTIVA,PETROL,2,7,IMPORTED BUILT-UP,SOUTH KOREA,190,NONE,,7 LX AWD V6 AT,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6976,RED,SALOON,4200,8K69RB-,1987,9,0,0,RE-REG,HOLDEN,COMMODORE,PETROL,0,5,IMPORTED BUILT-UP,AUSTRALIA,0,NEW ZEALAND,,SS,CENTRAL OTAGO DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1982
6977,SILVER,SALOON,1998,,2008,3,1665,0,NEW,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,114,NONE,,2.0S,NEW PLYMOUTH DISTRICT,5-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2008
6978,SILVER,HATCHBACK,1498,C11-152,2012,12,1385,0,USED,NISSAN,TIIDA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,SELWYN DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
6979,GREY,DOMESTIC TRAILER,0,,1962,9,3499,0,NEW,TRAILER,HOMEMADE,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,CHRISTCHURCH CITY,,0,TRAILER/CARAVAN,OTHER GOODS,1962
6980,SILVER,STATION WAGON,1998,NJ10-01,2012,8,1765,0,USED,NISSAN,DUALIS,PETROL,2,5,IMPORTED BUILT-UP,UNITED KINGDOM,0,JAPAN,,,WELLINGTON CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
6981,WHITE,UTILITY,2982,,2012,8,2710,0,NEW,TOYOTA,HILUX,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,126,NONE,,2WD 3.0TD DC UTE 5M,WELLINGTON CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2012
6982,WHITE,SALOON,2997,LD31558,1974,6,0,0,NEW,TRIUMPH,,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1974
6983,GOLD,SALOON,1600,,1982,2,0,0,NEW,HONDA,PRELUDE,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1982
6984,GREY,DOMESTIC TRAILER,0,,1996,9,0,0,NEW,TRAILER,HOMEMADE,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,MARLBOROUGH DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,1970
6985,RED,MOTORCYCLE,249,,2012,8,0,0,NEW,KAWASAKI,EX,PETROL,0,0,IMPORTED BUILT-UP,THAILAND,23,NONE,,250J,ROTORUA DISTRICT,,0,MOTORCYCLE,PRIVATE PASSENGER,2012
6986,BLUE,SALOON,3049,80369AN,1969,7,0,0,NEW,HOLDEN,KINGSWOOD,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,DUNEDIN CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1969
